PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31254880","Early life stress induces submissive behavior in adult rats","Frank D, Zlotnik A, Kofman O, Grinshpun J, Severynovska O, Brotfain E, Kut R, Natanel D, Melamed I, Boyko M.","Behav Brain Res. 2019 Oct 17;372:112025. doi: 10.1016/j.bbr.2019.112025. Epub 2019 Jun 26.","Frank D","Behav Brain Res","2019","2019/06/30","","","10.1016/j.bbr.2019.112025"
"33163945","A Major Change in Rate of Climate Niche Envelope Evolution during Hominid History","Mondanaro A, Melchionna M, Di Febbraro M, Castiglione S, Holden PB, Edwards NR, Carotenuto F, Maiorano L, Modafferi M, Serio C, Diniz-Filho JAF, Rangel T, Rook L, O'Higgins P, Spikins P, Profico A, Raia P.","iScience. 2020 Oct 15;23(11):101693. doi: 10.1016/j.isci.2020.101693. eCollection 2020 Nov 20.","Mondanaro A","iScience","2020","2020/11/09","PMC7607486","","10.1016/j.isci.2020.101693"
"28373841","Brain Transcriptome Sequencing of a Natural Model of Alzheimer's Disease","Altimiras F, Uszczynska-Ratajczak B, Camara F, Vlasova A, Palumbo E, Newhouse S, Deacon RM, Farias LA, Hurley MJ, Loyola DE, Vásquez RA, Dobson R, Guigó R, Cogram P.","Front Aging Neurosci. 2017 Mar 20;9:64. doi: 10.3389/fnagi.2017.00064. eCollection 2017.","Altimiras F","Front Aging Neurosci","2017","2017/04/05","PMC5357652","","10.3389/fnagi.2017.00064"
"27098910","Efficient Genome-Wide Sequencing and Low-Coverage Pedigree Analysis from Noninvasively Collected Samples","Snyder-Mackler N, Majoros WH, Yuan ML, Shaver AO, Gordon JB, Kopp GH, Schlebusch SA, Wall JD, Alberts SC, Mukherjee S, Zhou X, Tung J.","Genetics. 2016 Jun;203(2):699-714. doi: 10.1534/genetics.116.187492. Epub 2016 Apr 20.","Snyder-Mackler N","Genetics","2016","2016/04/22","PMC4896188","","10.1534/genetics.116.187492"
"28074253","c-Abl inhibition mitigates diet-induced obesity through improving insulin sensitivity of subcutaneous fat in mice","Wu R, Sun JG, Wang JQ, Li B, Liu Q, Ning G, Jin W, Yuan Z.","Diabetologia. 2017 May;60(5):900-910. doi: 10.1007/s00125-016-4202-2. Epub 2017 Jan 10.","Wu R","Diabetologia","2017","2017/01/12","","","10.1007/s00125-016-4202-2"
"28739940","Song hybridization events during revolutionary song change provide insights into cultural transmission in humpback whales","Garland EC, Rendell L, Lamoni L, Poole MM, Noad MJ.","Proc Natl Acad Sci U S A. 2017 Jul 25;114(30):7822-7829. doi: 10.1073/pnas.1621072114. Epub 2017 Jul 24.","Garland EC","Proc Natl Acad Sci U S A","2017","2017/07/26","PMC5543391","","10.1073/pnas.1621072114"
"31010537","A missing piece of the Papio puzzle: Gorongosa baboon phenostructure and intrageneric relationships","Martinez FI, Capelli C, Ferreira da Silva MJ, Aldeias V, Alemseged Z, Archer W, Bamford M, Biro D, Bobe R, Braun DR, Habermann JM, Lüdecke T, Madiquida H, Mathe J, Negash E, Paulo LM, Pinto M, Stalmans M, Tátá F, Carvalho S.","J Hum Evol. 2019 May;130:1-20. doi: 10.1016/j.jhevol.2019.01.007. Epub 2019 Mar 5.","Martinez FI","J Hum Evol","2019","2019/04/24","","","10.1016/j.jhevol.2019.01.007"
"32374036","Bringing up baby: Maternal responsiveness, secondary attachments, and the development of infant social competence in wild olive baboons (Papio anubis)","Most CA, Strum SC.","Dev Psychobiol. 2020 Nov;62(7):963-978. doi: 10.1002/dev.21973. Epub 2020 May 6.","Most CA","Dev Psychobiol","2020","2020/05/07","","","10.1002/dev.21973"
"31060242","Waste Disposal Sites as All-You-Can Eat Buffets for Carrion Crows (Corvus corone)","Preininger D, Schoas B, Kramer D, Boeckle M.","Animals (Basel). 2019 May 4;9(5):215. doi: 10.3390/ani9050215.","Preininger D","Animals (Basel)","2019","2019/05/08","PMC6562966","","10.3390/ani9050215"
"30402065","Brain differences in ecologically differentiated sticklebacks","Keagy J, Braithwaite VA, Boughman JW; Handling editor: Rudiger Riesch.","Curr Zool. 2018 Apr;64(2):243-250. doi: 10.1093/cz/zox074. Epub 2017 Nov 30.","Keagy J","Curr Zool","2018","2018/11/08","PMC5905471","","10.1093/cz/zox074"
